wt2	5p	0	0	0	0	0	0	0	4	1	201	0	0	0	0	0	0	0	0	0	0	0
wt2	3p	0	0	0	0	0	0	2	37	43	123	0	1	0	0	0	0	0	0	0	0	0
mt3	5p	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0
mt3	3p	0	0	0	0	0	1	1	15	32	60	0	0	0	0	0	0	0	0	0	0	0
wt1	5p	0	0	0	0	0	1	0	1	1	366	0	0	0	0	0	3	0	1	0	0	0
wt1	3p	0	0	0	0	0	0	2	70	90	207	0	0	0	2	0	0	1	0	0	0	0
wt3	5p	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0
wt3	3p	0	0	0	0	0	0	1	20	22	42	0	0	1	0	0	0	0	0	0	0	0
mt2	5p	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0
mt2	3p	0	0	0	0	0	0	1	38	53	76	0	0	0	0	0	0	0	0	0	0	0
mt1	5p	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	1	0	0	0	0
mt1	3p	0	0	0	0	0	0	0	29	97	156	0	0	0	0	0	0	0	0	0	0	0
